OBJECTID,IS_DRILL,STREET,REASON,TYPE,SOURCE,RoadClosureDate,RoadClosureEnd,INCIDENT_DATE,YEAR,RoadClosureHours,CommuteHours,TideDate,MinsUntilTide,FloodRisk,NearestHighLowTide,MaxTide,TideType,Closest6MinTideHeight,MoonPhase,MoonPhaseDesc,DailyPrecipitation_Downtown,DailyPrecipitationCat_Downtown,Fastest2minWindDir_Dwntwn,Fastest2minWindSpeed_Dwntwn,Fastest2minWindDirDesc_Dwntwn,FloodReason_6MIN,FloodReason_Day,EventName,Shape__Length
188,,FISHBURNE ST,FLOOD,CLOSED,Public Service - Engineering,2015/10/09 00:00:00+00,,2015/10/09,2015,,Non-Commute,2015/10/09 00:12:00+00,12,None,2.098,6.74,Low,2.127,0.87,Other Moon,0,None,140,6.9,SE,Low Tide / No Rain,High Tide / No Rain,,120.377303391245
189,,MORRISON DR,FLOOD,CLOSED,Charleston PD,2015/10/09 05:00:00+00,,2015/10/09,2015,,Non-Commute,2015/10/09 06:12:00+00,72,None,6.639,6.74,High,6.284,0.87,Other Moon,0,None,140,6.9,SE,High Tide / No Rain,High Tide / No Rain,,415.4794817364
190,,WENTWORTH ST,FLOOD,CLOSED,Charleston PD,2015/10/27 07:06:00+00,,2015/10/27,2015,,Morning Commute,2015/10/27 08:30:00+00,84,Major,8.653,8.653,High,7.675,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,132.816400527894
191,,LOCKWOOD DR,FLOOD,CLOSED,Charleston PD,2015/10/27 07:30:00+00,2015/10/27 11:49:00+00,2015/10/27,2015,4,Morning Commute,2015/10/27 08:30:00+00,60,Major,8.653,8.653,High,8.079,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,240.739536308124
192,,LOCKWOOD DR,FLOOD,CLOSED,Charleston PD,2015/10/27 07:30:00+00,2015/10/27 11:49:00+00,2015/10/27,2015,4,Morning Commute,2015/10/27 08:30:00+00,60,Major,8.653,8.653,High,8.079,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,131.123840073393
193,,DRAKE ST,FLOOD,CLOSED,Charleston PD,2015/10/27 07:41:00+00,2015/10/27 13:38:00+00,2015/10/27,2015,6,Morning Commute,2015/10/27 08:30:00+00,49,Major,8.653,8.653,High,8.279,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,334.01160309404
194,,MORRISON DR,FLOOD,CLOSED,Charleston PD,2015/10/27 07:41:00+00,2015/10/27 13:09:00+00,2015/10/27,2015,6,Morning Commute,2015/10/27 08:30:00+00,49,Major,8.653,8.653,High,8.279,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,721.77071453348
195,,CHERRY ST,FLOOD,CLOSED,Charleston PD,2015/10/27 08:05:00+00,2015/10/27 13:42:00+00,2015/10/27,2015,5,Morning Commute,2015/10/27 08:30:00+00,25,Major,8.653,8.653,High,8.617,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,137.646474071752
196,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2015/10/27 08:05:00+00,2015/10/27 13:38:00+00,2015/10/27,2015,5,Morning Commute,2015/10/27 08:30:00+00,25,Major,8.653,8.653,High,8.617,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,74.5167082661862
197,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/10/27 08:05:00+00,2015/10/27 13:09:00+00,2015/10/27,2015,5,Morning Commute,2015/10/27 08:30:00+00,25,Major,8.653,8.653,High,8.617,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,123.262523778168
198,,CALHOUN ST,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/27 08:32:00+00,2015/10/27 11:49:00+00,2015/10/27,2015,3,Morning Commute,2015/10/27 08:30:00+00,-2,Major,8.653,8.653,High,8.676,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,311.245507212885
199,,CENTRAL PARK RD,FLOOD,CLOSED,Charleston PD,2015/10/27 09:12:00+00,2015/10/27 11:49:00+00,2015/10/27,2015,2,Morning Commute,2015/10/27 08:30:00+00,-42,Major,8.653,8.653,High,8.371,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,496.42636530739
200,,HARBOR VIEW RD,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/27 09:26:00+00,2015/10/27 10:03:00+00,2015/10/27,2015,1,Morning Commute,2015/10/27 08:30:00+00,-56,Major,8.653,8.653,High,8.213,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,379.19104676364
201,,SAINT ANDREWS BLVD RAMP,FLOOD,CLOSED,Charleston PD,2015/10/27 09:41:00+00,2015/10/27 11:57:00+00,2015/10/27,2015,2,Morning Commute,2015/10/27 08:30:00+00,-71,Major,8.653,8.653,High,7.951,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,886.031853998259
202,,LOCKWOOD DR RAMP,FLOOD,CLOSED,Charleston PD,2015/10/27 09:48:00+00,2015/10/27 09:48:00+00,2015/10/27,2015,0,Morning Commute,2015/10/27 08:30:00+00,-78,Major,8.653,8.653,High,7.869,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,349.841027216272
203,,LOCKWOOD DR RAMP,FLOOD,CLOSED,Charleston PD,2015/10/27 09:48:00+00,2015/10/27 09:48:00+00,2015/10/27,2015,0,Morning Commute,2015/10/27 08:30:00+00,-78,Major,8.653,8.653,High,7.869,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,349.841027216272
204,,WINDERMERE BLVD,FLOOD,CLOSED,Charleston PD,2015/10/27 10:03:00+00,2015/10/27 11:57:00+00,2015/10/27,2015,1,Morning Commute,2015/10/27 08:30:00+00,-93,Major,8.653,8.653,High,7.656,0.47,Full Moon,0.51,"<1""",40,21,NE,High Tide / Rain,High Tide / Rain,,308.024175409223
205,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/10/28 00:00:00+00,2015/10/28 11:00:00+00,2015/10/28,2015,11,Non-Commute,2015/10/28 02:48:00+00,168,None,0.743,8.253,Low,4.23,0.51,Full Moon,0.28,"<1""",170,19.9,S,Low Tide / No Rain,High Tide / No Rain,,217.153574775675
206,,E BAY ST,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/28 00:00:00+00,2015/10/28 10:45:00+00,2015/10/28,2015,10,Non-Commute,2015/10/28 02:48:00+00,168,None,0.743,8.253,Low,4.23,0.51,Full Moon,0.28,"<1""",170,19.9,S,Low Tide / No Rain,High Tide / No Rain,,100.947534499279
207,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/10/28 00:00:00+00,2015/10/28 11:00:00+00,2015/10/28,2015,11,Non-Commute,2015/10/28 02:48:00+00,168,None,0.743,8.253,Low,4.23,0.51,Full Moon,0.28,"<1""",170,19.9,S,Low Tide / No Rain,High Tide / No Rain,,350.731801030563
208,,HAGOOD AVE,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/28 00:00:00+00,2015/10/28 14:07:00+00,2015/10/28,2015,14,Non-Commute,2015/10/28 02:48:00+00,168,None,0.743,8.253,Low,4.23,0.51,Full Moon,0.28,"<1""",170,19.9,S,Low Tide / No Rain,High Tide / No Rain,,234.19226537321
209,,HANOVER ST,FLOOD,CLOSED,Charleston PD,2015/10/28 05:00:00+00,2015/10/28 14:07:00+00,2015/10/28,2015,9,Non-Commute,2015/10/28 02:48:00+00,-132,None,0.743,8.253,Low,3.069,0.51,Full Moon,0.28,"<1""",170,19.9,S,Low Tide / No Rain,High Tide / No Rain,,127.896983759068
210,,MORRISON DR,FLOOD,CLOSED,Charleston PD,2015/10/28 07:35:00+00,2015/10/28 12:58:00+00,2015/10/28,2015,5,Morning Commute,2015/10/28 09:12:00+00,97,Major,8.253,8.253,High,7.508,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,721.77071453348
211,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/10/28 07:56:00+00,2015/10/28 12:15:00+00,2015/10/28,2015,5,Morning Commute,2015/10/28 09:12:00+00,76,Major,8.253,8.253,High,7.731,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,123.262523778168
212,,LOCKWOOD DR,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/28 08:00:00+00,2015/10/28 11:55:00+00,2015/10/28,2015,3,Morning Commute,2015/10/28 09:12:00+00,72,Major,8.253,8.253,High,7.761,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,371.863376381517
213,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/10/28 08:10:00+00,2015/10/28 12:10:00+00,2015/10/28,2015,4,Morning Commute,2015/10/28 09:12:00+00,62,Major,8.253,8.253,High,7.852,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,83.478425461019
214,,CENTRAL PARK RD,FLOOD,CLOSED,Charleston PD,2015/10/28 08:15:00+00,2015/10/28 12:18:00+00,2015/10/28,2015,4,Morning Commute,2015/10/28 09:12:00+00,57,Major,8.253,8.253,High,7.852,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,496.42636530739
215,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/10/28 08:20:00+00,2015/10/28 11:00:00+00,2015/10/28,2015,3,Morning Commute,2015/10/28 09:12:00+00,52,Major,8.253,8.253,High,7.921,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,262.33393013614
216,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/10/28 08:23:00+00,,2015/10/28,2015,,Morning Commute,2015/10/28 09:12:00+00,49,Major,8.253,8.253,High,7.977,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,116.547180501425
217,,N MARKET ST,FLOOD,CLOSED,Charleston PD,2015/10/28 08:30:00+00,2015/10/28 10:30:00+00,2015/10/28,2015,2,Morning Commute,2015/10/28 09:12:00+00,42,Major,8.253,8.253,High,8.026,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,164.191515813292
218,,WASHINGTON ST,FLOOD,CLOSED,Charleston PD,2015/10/28 08:40:00+00,2015/10/28 12:00:00+00,2015/10/28,2015,4,Morning Commute,2015/10/28 09:12:00+00,32,Major,8.253,8.253,High,8.099,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,353.361622007984
219,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2015/10/28 08:43:00+00,,2015/10/28,2015,,Morning Commute,2015/10/28 09:12:00+00,29,Major,8.253,8.253,High,8.099,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,234.19226537321
220,,SAINT ANDREWS BLVD RAMP,FLOOD,CLOSED,Charleston PD,2015/10/28 08:50:00+00,2015/10/28 11:08:00+00,2015/10/28,2015,3,Morning Commute,2015/10/28 09:12:00+00,22,Major,8.253,8.253,High,8.167,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,886.031853998259
221,,CONCORD ST,FLOOD,CLOSED,Charleston PD,2015/10/28 08:53:00+00,2015/10/28 10:17:00+00,2015/10/28,2015,2,Morning Commute,2015/10/28 09:12:00+00,19,Major,8.253,8.253,High,8.217,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,236.525688613821
222,,GADSDEN ST,FLOOD,CLOSED,Charleston PD,2015/10/28 09:00:00+00,,2015/10/28,2015,,Morning Commute,2015/10/28 09:12:00+00,12,Major,8.253,8.253,High,8.263,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,147.891268781662
223,,BATTERY ISLAND DR,FLOOD,CLOSED,Charleston PD,2015/10/28 09:00:00+00,2015/10/28 10:59:00+00,2015/10/28,2015,1,Morning Commute,2015/10/28 09:12:00+00,12,Major,8.253,8.253,High,8.263,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,783.080831956467
224,,GADSDEN ST,FLOOD,CLOSED,Charleston PD,2015/10/28 09:11:00+00,,2015/10/28,2015,,Morning Commute,2015/10/28 09:12:00+00,1,Major,8.253,8.253,High,8.269,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,113.255130685498
225,,LOCKWOOD DR,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/10/28 09:15:00+00,2015/10/28 11:55:00+00,2015/10/28,2015,2,Morning Commute,2015/10/28 09:12:00+00,-3,Major,8.253,8.253,High,8.269,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,519.521994744558
226,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,2015/10/28 09:17:00+00,2015/10/28 11:51:00+00,2015/10/28,2015,2,Morning Commute,2015/10/28 09:12:00+00,-5,Major,8.253,8.253,High,8.246,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,456.22190499828
227,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2015/10/28 09:30:00+00,,2015/10/28,2015,,Morning Commute,2015/10/28 09:12:00+00,-18,Major,8.253,8.253,High,8.167,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,94.4768662947102
228,,BROAD ST,FLOOD,CLOSED,Charleston PD,2015/10/28 09:36:00+00,2015/10/28 11:55:00+00,2015/10/28,2015,2,Morning Commute,2015/10/28 09:12:00+00,-24,Major,8.253,8.253,High,8.141,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,297.961965052929
229,,WINDERMERE BLVD,FLOOD,CLOSED,Charleston PD,2015/10/28 10:17:00+00,2015/10/28 14:20:00+00,2015/10/28,2015,4,Morning Commute,2015/10/28 09:12:00+00,-65,Major,8.253,8.253,High,7.682,0.51,Full Moon,0.28,"<1""",170,19.9,S,High Tide / No Rain,High Tide / No Rain,,308.024175409223
230,,SOUTH ST,FLOOD,CLOSED,Charleston PD,2015/10/28 12:18:00+00,2015/10/28 02:45:00+00,2015/10/28,2015,-10,Morning Commute,2015/10/28 09:12:00+00,-186,Major,8.253,8.253,High,4.89,0.51,Full Moon,0.28,"<1""",170,19.9,S,Low Tide / No Rain,High Tide / No Rain,,175.417631620826
231,,GADSDEN ST,FLOOD,CLOSED,Charleston PD,2015/11/03 00:00:00+00,2015/11/03 14:33:00+00,2015/11/03,2015,14,Non-Commute,2015/11/03 01:12:00+00,72,None,5.73,6.176,High,5.385,0.72,Other Moon,3.5,">3""",160,12.1,SE,Low Tide / No Rain,High Tide / Rain,,204.406100574083
232,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2015/11/03 00:00:00+00,2015/11/03 14:33:00+00,2015/11/03,2015,14,Non-Commute,2015/11/03 01:12:00+00,72,None,5.73,6.176,High,5.385,0.72,Other Moon,3.5,">3""",160,12.1,SE,Low Tide / No Rain,High Tide / Rain,,182.988358353794
233,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2015/11/03 07:37:00+00,,2015/11/03,2015,,Morning Commute,2015/11/03 06:54:00+00,-43,None,1.363,6.176,Low,1.504,0.72,Other Moon,3.5,">3""",160,12.1,SE,Non-High Tide / Rain,High Tide / Rain,,94.4768662947102
234,,OGIER ST,FLOOD,CLOSED,Charleston PD,2015/11/03 07:37:00+00,2015/11/03 09:10:00+00,2015/11/03,2015,2,Morning Commute,2015/11/03 06:54:00+00,-43,None,1.363,6.176,Low,1.504,0.72,Other Moon,3.5,">3""",160,12.1,SE,Non-High Tide / Rain,High Tide / Rain,,235.113498226216
235,,WENTWORTH ST,FLOOD,CLOSED,Charleston PD,2015/11/03 07:37:00+00,,2015/11/03,2015,,Morning Commute,2015/11/03 06:54:00+00,-43,None,1.363,6.176,Low,1.504,0.72,Other Moon,3.5,">3""",160,12.1,SE,Non-High Tide / Rain,High Tide / Rain,,168.262349790287
236,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/11/03 14:33:00+00,2015/11/03 15:30:00+00,2015/11/03,2015,1,Non-Commute,2015/11/03 13:18:00+00,-75,None,6.176,6.176,High,5.881,0.72,Other Moon,3.5,">3""",160,12.1,SE,Low Tide / No Rain,High Tide / Rain,,350.731801030563
237,,CANNON ST,FLOOD,CLOSED,Charleston PD,2015/11/09 00:00:00+00,2015/11/09 13:36:00+00,2015/11/09,2015,13,Non-Commute,2015/11/09 00:24:00+00,24,None,2.446,7.314,Low,2.465,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,152.880649260152
238,,SIGNAL POINT RD,FLOOD,CLOSED,Charleston PD,2015/11/09 00:00:00+00,2015/11/09 00:00:00+00,2015/11/09,2015,0,Non-Commute,2015/11/09 00:24:00+00,24,None,2.446,7.314,Low,2.465,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,377.076942128439
239,,BENNETT ST,FLOOD,CLOSED,Charleston PD,2015/11/09 00:00:00+00,2015/11/09 00:00:00+00,2015/11/09,2015,0,Non-Commute,2015/11/09 00:24:00+00,24,None,2.446,7.314,Low,2.465,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,441.982568278116
240,,N MARKET ST,FLOOD,CLOSED,Charleston PD,2015/11/09 00:00:00+00,2015/11/09 00:00:00+00,2015/11/09,2015,0,Non-Commute,2015/11/09 00:24:00+00,24,None,2.446,7.314,Low,2.465,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,471.217775646756
241,,DRAKE ST,FLOOD,CLOSED,Charleston PD,2015/11/09 00:00:00+00,2015/11/09 13:05:00+00,2015/11/09,2015,13,Non-Commute,2015/11/09 00:24:00+00,24,None,2.446,7.314,Low,2.465,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,334.01160309404
242,,CHERRY ST,FLOOD,CLOSED,Charleston PD,2015/11/09 05:42:00+00,2015/11/09 16:26:00+00,2015/11/09,2015,11,Non-Commute,2015/11/09 06:36:00+00,54,Minor,7.314,7.314,High,7.078,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,137.646474071752
243,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2015/11/09 05:47:00+00,,2015/11/09,2015,,Non-Commute,2015/11/09 06:36:00+00,49,Minor,7.314,7.314,High,7.157,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,188.640810793689
244,,WENTWORTH ST,FLOOD,CLOSED,Charleston PD,2015/11/09 06:05:00+00,,2015/11/09,2015,,Morning Commute,2015/11/09 06:36:00+00,31,Minor,7.314,7.314,High,7.285,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,132.816400527894
245,,BARRE ST,FLOOD,CLOSED,Charleston PD,2015/11/09 06:05:00+00,2015/11/09 13:53:00+00,2015/11/09,2015,7,Morning Commute,2015/11/09 06:36:00+00,31,Minor,7.314,7.314,High,7.285,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,132.816400527894
246,,MORRISON DR,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/11/09 06:05:00+00,2015/11/09 08:54:00+00,2015/11/09,2015,2,Morning Commute,2015/11/09 06:36:00+00,31,Minor,7.314,7.314,High,7.285,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,458.085996185956
247,,HAGOOD AVE,FLOOD,CLOSED,Charleston PD,2015/11/09 06:08:00+00,2015/11/09 11:42:00+00,2015/11/09,2015,5,Morning Commute,2015/11/09 06:36:00+00,28,Minor,7.314,7.314,High,7.285,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,421.388059425228
248,,WASHINGTON ST,FLOOD,CLOSED,Charleston PD,2015/11/09 06:18:00+00,2015/11/09 11:44:00+00,2015/11/09,2015,5,Morning Commute,2015/11/09 06:36:00+00,18,Minor,7.314,7.314,High,7.321,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,353.361622007984
249,,S MARKET ST,FLOOD,CLOSED,Charleston PD,2015/11/09 06:36:00+00,2015/11/09 11:03:00+00,2015/11/09,2015,5,Morning Commute,2015/11/09 06:36:00+00,0,Minor,7.314,7.314,High,7.272,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,262.33393013614
250,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2015/11/09 06:46:00+00,2015/11/09 06:52:00+00,2015/11/09,2015,0,Morning Commute,2015/11/09 06:36:00+00,-10,Minor,7.314,7.314,High,7.278,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,196.772204710839
251,,ASHLEY AVE,FLOOD,CLOSED,Charleston PD,2015/11/09 06:49:00+00,2015/11/09 16:26:00+00,2015/11/09,2015,10,Morning Commute,2015/11/09 06:36:00+00,-13,Minor,7.314,7.314,High,7.278,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,281.075416368046
252,,CENTRAL PARK RD,FLOOD,CLOSED,Charleston PD,2015/11/09 06:58:00+00,2015/11/09 13:23:00+00,2015/11/09,2015,7,Morning Commute,2015/11/09 06:36:00+00,-22,Minor,7.314,7.314,High,7.239,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,496.42636530739
253,,AMERICA ST,FLOOD,CLOSED,Charleston PD,2015/11/09 07:15:00+00,2015/11/09 16:26:00+00,2015/11/09,2015,9,Morning Commute,2015/11/09 06:36:00+00,-39,Minor,7.314,7.314,High,7.193,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,123.262523778168
254,,MORRISON DR,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/11/09 07:35:00+00,2015/11/09 08:54:00+00,2015/11/09,2015,1,Morning Commute,2015/11/09 06:36:00+00,-59,Minor,7.314,7.314,High,6.977,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,High Tide / Rain,High Tide / Rain,,415.4794817364
255,,SPRING ST,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/11/09 09:22:00+00,2015/11/09 00:00:00+00,2015/11/09,2015,-9,Morning Commute,2015/11/09 06:36:00+00,-166,Minor,7.314,7.314,High,5.159,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Low Tide / No Rain,High Tide / Rain,,68.5614814353756
256,,RUTLEDGE AVE,FLOOD,CLOSED,Charleston PD,2015/11/09 09:33:00+00,2015/11/09 13:22:00+00,2015/11/09,2015,4,Morning Commute,2015/11/09 06:36:00+00,-177,Minor,7.314,7.314,High,5.057,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Low Tide / No Rain,High Tide / Rain,,182.988358353794
257,,SAVANNAH HWY,FLOOD,CLOSED - PARTIAL,Charleston PD,2015/11/09 09:38:00+00,2015/11/09 10:32:00+00,2015/11/09,2015,1,Morning Commute,2015/11/09 06:36:00+00,-182,Minor,7.314,7.314,High,4.946,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Low Tide / No Rain,High Tide / Rain,,305.964952110146
258,,JONATHAN LUCAS ST,FLOOD,CLOSED,Charleston PD,2015/11/09 09:50:00+00,2015/11/09 15:26:00+00,2015/11/09,2015,6,Non-Commute,2015/11/09 12:48:00+00,178,None,2.016,7.314,Low,4.68,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,246.813459573645
259,,BEAUFAIN ST,FLOOD,CLOSED,Charleston PD,2015/11/09 09:51:00+00,2015/11/09 13:47:00+00,2015/11/09,2015,4,Non-Commute,2015/11/09 12:48:00+00,177,None,2.016,7.314,Low,4.68,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,261.957647863472
260,,WINDERMERE BLVD,FLOOD,CLOSED,Charleston PD,2015/11/09 10:05:00+00,2015/11/09 15:32:00+00,2015/11/09,2015,5,Non-Commute,2015/11/09 12:48:00+00,163,None,2.016,7.314,Low,4.329,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,308.024175409223
261,,HUGER ST,FLOOD,CLOSED,Charleston PD,2015/11/09 10:08:00+00,2015/11/09 11:44:00+00,2015/11/09,2015,1,Non-Commute,2015/11/09 12:48:00+00,160,None,2.016,7.314,Low,4.329,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,261.04873132964
262,,COOL BLOW ST,FLOOD,CLOSED,Charleston PD,2015/11/09 10:16:00+00,2015/11/09 16:23:00+00,2015/11/09,2015,6,Non-Commute,2015/11/09 12:48:00+00,152,None,2.016,7.314,Low,4.03,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,142.849099514586
263,,KEATS RD,FLOOD,CLOSED,Charleston PD,2015/11/09 10:22:00+00,2015/11/09 00:00:00+00,2015/11/09,2015,-10,Non-Commute,2015/11/09 12:48:00+00,146,None,2.016,7.314,Low,3.827,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,107.462592699852
264,,OGIER ST,FLOOD,CLOSED,Charleston PD,2015/11/09 12:01:00+00,2015/11/09 13:08:00+00,2015/11/09,2015,1,Non-Commute,2015/11/09 12:48:00+00,47,None,2.016,7.314,Low,2.328,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,235.113498226216
265,,VANDERHORST ST,FLOOD,CLOSED,Charleston PD,2015/11/09 12:12:00+00,2015/11/09 13:08:00+00,2015/11/09,2015,1,Non-Commute,2015/11/09 12:48:00+00,36,None,2.016,7.314,Low,2.2,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,313.147624882347
266,,BENNETT ST,FLOOD,CLOSED,Charleston PD,2015/11/09 12:15:00+00,,2015/11/09,2015,,Non-Commute,2015/11/09 12:48:00+00,33,None,2.016,7.314,Low,2.2,0.91,Other Moon,2.4,">2"" and <3""",20,19,NE,Non-High Tide / Rain,High Tide / Rain,,172.339123269621
267,,PRESIDENT ST,FLOOD,CLOSED,Charleston PD,2016/01/15 12:06:34+00,2016/01/15 14:22:10+00,2016/01/15,2016,2,Non-Commute,2016/01/15 12:12:00+00,6,None,6.98,6.98,High,6.924,0.17,Other Moon,1.17,">1"" and <2""",220,18.1,SW,High Tide / Rain,High Tide / Rain,,119.836504120744
268,,HUGER ST,FLOOD,CLOSED,Charleston PD,2016/01/15 12:08:53+00,2016/01/15 13:37:01+00,2016/01/15,2016,1,Non-Commute,2016/01/15 12:12:00+00,4,None,6.98,6.98,High,6.924,0.17,Other Moon,1.17,">1"" and <2""",220,18.1,SW,High Tide / Rain,High Tide / Rain,,209.078451172792
